	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
14979	LT0013_38	A4	50	4	positive control	ENSG00000149503
14990	LT0013_38	A15	50	15	negative control	negative control
15001	LT0013_38	B2	50	26	negative control	negative control
15024	LT0013_38	C1	50	49	positive control	ENSG00000149503
15027	LT0013_38	C4	50	52	positive control	ENSG00000149503
15038	LT0013_38	C15	50	63	negative control	negative control
15049	LT0013_38	D2	50	74	negative control	negative control
15279	LT0013_38	M16	50	304	negative control	negative control
15290	LT0013_38	N3	50	315	negative control	negative control
15327	LT0013_38	O16	50	352	negative control	negative control
15360	LT0013_42	A1	50	1	positive control	ENSG00000149503
15363	LT0013_42	A4	50	4	positive control	ENSG00000149503
15374	LT0013_42	A15	50	15	negative control	negative control
15385	LT0013_42	B2	50	26	negative control	negative control
15408	LT0013_42	C1	50	49	positive control	ENSG00000149503
15411	LT0013_42	C4	50	52	positive control	ENSG00000149503
15422	LT0013_42	C15	50	63	negative control	negative control
15433	LT0013_42	D2	50	74	negative control	negative control
15663	LT0013_42	M16	50	304	negative control	negative control
15674	LT0013_42	N3	50	315	negative control	negative control
15711	LT0013_42	O16	50	352	negative control	negative control
15744	LT0014_01	A1	50	1	positive control	ENSG00000149503
15747	LT0014_01	A4	50	4	positive control	ENSG00000149503
15758	LT0014_01	A15	50	15	negative control	negative control
15769	LT0014_01	B2	50	26	negative control	negative control
15792	LT0014_01	C1	50	49	positive control	ENSG00000149503
15795	LT0014_01	C4	50	52	positive control	ENSG00000149503
15806	LT0014_01	C15	50	63	negative control	negative control
15817	LT0014_01	D2	50	74	negative control	negative control
16047	LT0014_01	M16	50	304	negative control	negative control
16058	LT0014_01	N3	50	315	negative control	negative control
16095	LT0014_01	O16	50	352	negative control	negative control
16128	LT0014_12	A1	50	1	positive control	ENSG00000149503
16131	LT0014_12	A4	50	4	positive control	ENSG00000149503
16142	LT0014_12	A15	50	15	negative control	negative control
16153	LT0014_12	B2	50	26	negative control	negative control
16176	LT0014_12	C1	50	49	positive control	ENSG00000149503
16179	LT0014_12	C4	50	52	positive control	ENSG00000149503
16190	LT0014_12	C15	50	63	negative control	negative control
16201	LT0014_12	D2	50	74	negative control	negative control
16431	LT0014_12	M16	50	304	negative control	negative control
16442	LT0014_12	N3	50	315	negative control	negative control
16479	LT0014_12	O16	50	352	negative control	negative control
16512	LT0014_23	A1	50	1	positive control	ENSG00000149503
16515	LT0014_23	A4	50	4	positive control	ENSG00000149503
16526	LT0014_23	A15	50	15	negative control	negative control
16537	LT0014_23	B2	50	26	negative control	negative control
16563	LT0014_23	C4	50	52	positive control	ENSG00000149503
16574	LT0014_23	C15	50	63	negative control	negative control
16585	LT0014_23	D2	50	74	negative control	negative control
16815	LT0014_23	M16	50	304	negative control	negative control
16826	LT0014_23	N3	50	315	negative control	negative control
16863	LT0014_23	O16	50	352	negative control	negative control
16899	LT0015_10	A4	50	4	positive control	ENSG00000149503
16910	LT0015_10	A15	50	15	negative control	negative control
16921	LT0015_10	B2	50	26	negative control	negative control
16944	LT0015_10	C1	50	49	positive control	ENSG00000149503
16947	LT0015_10	C4	50	52	positive control	ENSG00000149503
16958	LT0015_10	C15	50	63	negative control	negative control
16969	LT0015_10	D2	50	74	negative control	negative control
17199	LT0015_10	M16	50	304	negative control	negative control
17210	LT0015_10	N3	50	315	negative control	negative control
17247	LT0015_10	O16	50	352	negative control	negative control
17280	LT0015_17	A1	50	1	positive control	ENSG00000149503
17283	LT0015_17	A4	50	4	positive control	ENSG00000149503
17294	LT0015_17	A15	50	15	negative control	negative control
17305	LT0015_17	B2	50	26	negative control	negative control
17328	LT0015_17	C1	50	49	positive control	ENSG00000149503
17331	LT0015_17	C4	50	52	positive control	ENSG00000149503
17342	LT0015_17	C15	50	63	negative control	negative control
17353	LT0015_17	D2	50	74	negative control	negative control
17583	LT0015_17	M16	50	304	negative control	negative control
17594	LT0015_17	N3	50	315	negative control	negative control
17631	LT0015_17	O16	50	352	negative control	negative control
17664	LT0015_22	A1	50	1	positive control	ENSG00000149503
17667	LT0015_22	A4	50	4	positive control	ENSG00000149503
17678	LT0015_22	A15	50	15	negative control	negative control
17689	LT0015_22	B2	50	26	negative control	negative control
17712	LT0015_22	C1	50	49	positive control	ENSG00000149503
17715	LT0015_22	C4	50	52	positive control	ENSG00000149503
17726	LT0015_22	C15	50	63	negative control	negative control
17737	LT0015_22	D2	50	74	negative control	negative control
17967	LT0015_22	M16	50	304	negative control	negative control
17978	LT0015_22	N3	50	315	negative control	negative control
18015	LT0015_22	O16	50	352	negative control	negative control
18048	LT0015_44	A1	50	1	positive control	ENSG00000149503
18051	LT0015_44	A4	50	4	positive control	ENSG00000149503
18062	LT0015_44	A15	50	15	negative control	negative control
18073	LT0015_44	B2	50	26	negative control	negative control
18096	LT0015_44	C1	50	49	positive control	ENSG00000149503
18099	LT0015_44	C4	50	52	positive control	ENSG00000149503
18110	LT0015_44	C15	50	63	negative control	negative control
18121	LT0015_44	D2	50	74	negative control	negative control
18351	LT0015_44	M16	50	304	negative control	negative control
18362	LT0015_44	N3	50	315	negative control	negative control
18399	LT0015_44	O16	50	352	negative control	negative control
18432	LT0015_55	A1	50	1	positive control	ENSG00000149503
18435	LT0015_55	A4	50	4	positive control	ENSG00000149503
18446	LT0015_55	A15	50	15	negative control	negative control
18457	LT0015_55	B2	50	26	negative control	negative control
18480	LT0015_55	C1	50	49	positive control	ENSG00000149503
18483	LT0015_55	C4	50	52	positive control	ENSG00000149503
