	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
18494	LT0015_55	C15	50	63	negative control	negative control
18505	LT0015_55	D2	50	74	negative control	negative control
18746	LT0015_55	N3	50	315	negative control	negative control
18783	LT0015_55	O16	50	352	negative control	negative control
18830	LT0015_70	A15	50	15	negative control	negative control
18841	LT0015_70	B2	50	26	negative control	negative control
18864	LT0015_70	C1	50	49	positive control	ENSG00000149503
18867	LT0015_70	C4	50	52	positive control	ENSG00000149503
18878	LT0015_70	C15	50	63	negative control	negative control
18889	LT0015_70	D2	50	74	negative control	negative control
19119	LT0015_70	M16	50	304	negative control	negative control
19130	LT0015_70	N3	50	315	negative control	negative control
19167	LT0015_70	O16	50	352	negative control	negative control
19200	LT0016_15	A1	50	1	positive control	ENSG00000149503
19203	LT0016_15	A4	50	4	positive control	ENSG00000149503
19214	LT0016_15	A15	50	15	negative control	negative control
19225	LT0016_15	B2	50	26	negative control	negative control
19248	LT0016_15	C1	50	49	positive control	ENSG00000149503
19251	LT0016_15	C4	50	52	positive control	ENSG00000149503
19262	LT0016_15	C15	50	63	negative control	negative control
19273	LT0016_15	D2	50	74	negative control	negative control
19503	LT0016_15	M16	50	304	negative control	negative control
19514	LT0016_15	N3	50	315	negative control	negative control
19551	LT0016_15	O16	50	352	negative control	negative control
19584	LT0016_18	A1	50	1	positive control	ENSG00000149503
19587	LT0016_18	A4	50	4	positive control	ENSG00000149503
19598	LT0016_18	A15	50	15	negative control	negative control
19609	LT0016_18	B2	50	26	negative control	negative control
19632	LT0016_18	C1	50	49	positive control	ENSG00000149503
19635	LT0016_18	C4	50	52	positive control	ENSG00000149503
19646	LT0016_18	C15	50	63	negative control	negative control
19657	LT0016_18	D2	50	74	negative control	negative control
19887	LT0016_18	M16	50	304	negative control	negative control
19898	LT0016_18	N3	50	315	negative control	negative control
19935	LT0016_18	O16	50	352	negative control	negative control
19968	LT0016_26	A1	50	1	positive control	ENSG00000149503
19971	LT0016_26	A4	50	4	positive control	ENSG00000149503
19982	LT0016_26	A15	50	15	negative control	negative control
19993	LT0016_26	B2	50	26	negative control	negative control
20016	LT0016_26	C1	50	49	positive control	ENSG00000149503
20019	LT0016_26	C4	50	52	positive control	ENSG00000149503
20030	LT0016_26	C15	50	63	negative control	negative control
20041	LT0016_26	D2	50	74	negative control	negative control
20271	LT0016_26	M16	50	304	negative control	negative control
20282	LT0016_26	N3	50	315	negative control	negative control
20319	LT0016_26	O16	50	352	negative control	negative control
20352	LT0016_28	A1	50	1	positive control	ENSG00000149503
20355	LT0016_28	A4	50	4	positive control	ENSG00000149503
20366	LT0016_28	A15	50	15	negative control	negative control
20377	LT0016_28	B2	50	26	negative control	negative control
20400	LT0016_28	C1	50	49	positive control	ENSG00000149503
20403	LT0016_28	C4	50	52	positive control	ENSG00000149503
20414	LT0016_28	C15	50	63	negative control	negative control
20425	LT0016_28	D2	50	74	negative control	negative control
20655	LT0016_28	M16	50	304	negative control	negative control
20666	LT0016_28	N3	50	315	negative control	negative control
20703	LT0016_28	O16	50	352	negative control	negative control
20736	LT0017_01	A1	50	1	positive control	ENSG00000149503
20739	LT0017_01	A4	50	4	positive control	ENSG00000149503
20750	LT0017_01	A15	50	15	negative control	negative control
20761	LT0017_01	B2	50	26	negative control	negative control
20784	LT0017_01	C1	50	49	positive control	ENSG00000149503
20787	LT0017_01	C4	50	52	positive control	ENSG00000149503
20798	LT0017_01	C15	50	63	negative control	negative control
20809	LT0017_01	D2	50	74	negative control	negative control
21039	LT0017_01	M16	50	304	negative control	negative control
21050	LT0017_01	N3	50	315	negative control	negative control
21087	LT0017_01	O16	50	352	negative control	negative control
21120	LT0017_08	A1	50	1	positive control	ENSG00000149503
21123	LT0017_08	A4	50	4	positive control	ENSG00000149503
21134	LT0017_08	A15	50	15	negative control	negative control
21145	LT0017_08	B2	50	26	negative control	negative control
21168	LT0017_08	C1	50	49	positive control	ENSG00000149503
21171	LT0017_08	C4	50	52	positive control	ENSG00000149503
21182	LT0017_08	C15	50	63	negative control	negative control
21193	LT0017_08	D2	50	74	negative control	negative control
21434	LT0017_08	N3	50	315	negative control	negative control
21471	LT0017_08	O16	50	352	negative control	negative control
21504	LT0017_19	A1	50	1	positive control	ENSG00000149503
21507	LT0017_19	A4	50	4	positive control	ENSG00000149503
21518	LT0017_19	A15	50	15	negative control	negative control
21529	LT0017_19	B2	50	26	negative control	negative control
21552	LT0017_19	C1	50	49	positive control	ENSG00000149503
21555	LT0017_19	C4	50	52	positive control	ENSG00000149503
21566	LT0017_19	C15	50	63	negative control	negative control
21577	LT0017_19	D2	50	74	negative control	negative control
21807	LT0017_19	M16	50	304	negative control	negative control
21818	LT0017_19	N3	50	315	negative control	negative control
21855	LT0017_19	O16	50	352	negative control	negative control
21888	LT0018_03	A1	50	1	positive control	ENSG00000149503
21891	LT0018_03	A4	50	4	positive control	ENSG00000149503
21902	LT0018_03	A15	50	15	negative control	negative control
21913	LT0018_03	B2	50	26	negative control	negative control
21936	LT0018_03	C1	50	49	positive control	ENSG00000149503
21939	LT0018_03	C4	50	52	positive control	ENSG00000149503
21950	LT0018_03	C15	50	63	negative control	negative control
21961	LT0018_03	D2	50	74	negative control	negative control
22191	LT0018_03	M16	50	304	negative control	negative control
22202	LT0018_03	N3	50	315	negative control	negative control
22239	LT0018_03	O16	50	352	negative control	negative control
22272	LT0018_25	A1	50	1	positive control	ENSG00000149503
22275	LT0018_25	A4	50	4	positive control	ENSG00000149503
22286	LT0018_25	A15	50	15	negative control	negative control
22297	LT0018_25	B2	50	26	negative control	negative control
22320	LT0018_25	C1	50	49	positive control	ENSG00000149503
22323	LT0018_25	C4	50	52	positive control	ENSG00000149503
22334	LT0018_25	C15	50	63	negative control	negative control
22345	LT0018_25	D2	50	74	negative control	negative control
22575	LT0018_25	M16	50	304	negative control	negative control
22586	LT0018_25	N3	50	315	negative control	negative control
22623	LT0018_25	O16	50	352	negative control	negative control
22656	LT0018_41	A1	50	1	positive control	ENSG00000149503
22659	LT0018_41	A4	50	4	positive control	ENSG00000149503
22670	LT0018_41	A15	50	15	negative control	negative control
22681	LT0018_41	B2	50	26	negative control	negative control
22704	LT0018_41	C1	50	49	positive control	ENSG00000149503
22707	LT0018_41	C4	50	52	positive control	ENSG00000149503
22718	LT0018_41	C15	50	63	negative control	negative control
22729	LT0018_41	D2	50	74	negative control	negative control
22959	LT0018_41	M16	50	304	negative control	negative control
22970	LT0018_41	N3	50	315	negative control	negative control
23007	LT0018_41	O16	50	352	negative control	negative control
23040	LT0019_06	A1	50	1	positive control	ENSG00000149503
23043	LT0019_06	A4	50	4	positive control	ENSG00000149503
23054	LT0019_06	A15	50	15	negative control	negative control
23065	LT0019_06	B2	50	26	negative control	negative control
23088	LT0019_06	C1	50	49	positive control	ENSG00000149503
23091	LT0019_06	C4	50	52	positive control	ENSG00000149503
23102	LT0019_06	C15	50	63	negative control	negative control
23113	LT0019_06	D2	50	74	negative control	negative control
23343	LT0019_06	M16	50	304	negative control	negative control
23354	LT0019_06	N3	50	315	negative control	negative control
23391	LT0019_06	O16	50	352	negative control	negative control
23424	LT0019_38	A1	50	1	positive control	ENSG00000149503
23427	LT0019_38	A4	50	4	positive control	ENSG00000149503
23438	LT0019_38	A15	50	15	negative control	negative control
23449	LT0019_38	B2	50	26	negative control	negative control
23472	LT0019_38	C1	50	49	positive control	ENSG00000149503
23475	LT0019_38	C4	50	52	positive control	ENSG00000149503
23486	LT0019_38	C15	50	63	negative control	negative control
23497	LT0019_38	D2	50	74	negative control	negative control
23727	LT0019_38	M16	50	304	negative control	negative control
23738	LT0019_38	N3	50	315	negative control	negative control
23775	LT0019_38	O16	50	352	negative control	negative control
23808	LT0019_48	A1	50	1	positive control	ENSG00000149503
23811	LT0019_48	A4	50	4	positive control	ENSG00000149503
23822	LT0019_48	A15	50	15	negative control	negative control
23833	LT0019_48	B2	50	26	negative control	negative control
23856	LT0019_48	C1	50	49	positive control	ENSG00000149503
23859	LT0019_48	C4	50	52	positive control	ENSG00000149503
23870	LT0019_48	C15	50	63	negative control	negative control
23881	LT0019_48	D2	50	74	negative control	negative control
24111	LT0019_48	M16	50	304	negative control	negative control
24122	LT0019_48	N3	50	315	negative control	negative control
24159	LT0019_48	O16	50	352	negative control	negative control
24192	LT0020_03	A1	50	1	positive control	ENSG00000149503
24195	LT0020_03	A4	50	4	positive control	ENSG00000149503
24206	LT0020_03	A15	50	15	negative control	negative control
24217	LT0020_03	B2	50	26	negative control	negative control
24240	LT0020_03	C1	50	49	positive control	ENSG00000149503
24243	LT0020_03	C4	50	52	positive control	ENSG00000149503
24254	LT0020_03	C15	50	63	negative control	negative control
24265	LT0020_03	D2	50	74	negative control	negative control
24495	LT0020_03	M16	50	304	negative control	negative control
24506	LT0020_03	N3	50	315	negative control	negative control
24543	LT0020_03	O16	50	352	negative control	negative control
24576	LT0020_04	A1	50	1	positive control	ENSG00000149503
24579	LT0020_04	A4	50	4	positive control	ENSG00000149503
24590	LT0020_04	A15	50	15	negative control	negative control
24601	LT0020_04	B2	50	26	negative control	negative control
24624	LT0020_04	C1	50	49	positive control	ENSG00000149503
24627	LT0020_04	C4	50	52	positive control	ENSG00000149503
24638	LT0020_04	C15	50	63	negative control	negative control
24649	LT0020_04	D2	50	74	negative control	negative control
24879	LT0020_04	M16	50	304	negative control	negative control
24890	LT0020_04	N3	50	315	negative control	negative control
24927	LT0020_04	O16	50	352	negative control	negative control
24960	LT0020_09	A1	50	1	positive control	ENSG00000149503
24963	LT0020_09	A4	50	4	positive control	ENSG00000149503
24974	LT0020_09	A15	50	15	negative control	negative control
24985	LT0020_09	B2	50	26	negative control	negative control
25008	LT0020_09	C1	50	49	positive control	ENSG00000149503
25011	LT0020_09	C4	50	52	positive control	ENSG00000149503
25022	LT0020_09	C15	50	63	negative control	negative control
25033	LT0020_09	D2	50	74	negative control	negative control
25263	LT0020_09	M16	50	304	negative control	negative control
25274	LT0020_09	N3	50	315	negative control	negative control
25311	LT0020_09	O16	50	352	negative control	negative control
25344	LT0020_40	A1	50	1	positive control	ENSG00000149503
25347	LT0020_40	A4	50	4	positive control	ENSG00000149503
25358	LT0020_40	A15	50	15	negative control	negative control
25369	LT0020_40	B2	50	26	negative control	negative control
25392	LT0020_40	C1	50	49	positive control	ENSG00000149503
25395	LT0020_40	C4	50	52	positive control	ENSG00000149503
25406	LT0020_40	C15	50	63	negative control	negative control
25417	LT0020_40	D2	50	74	negative control	negative control
25647	LT0020_40	M16	50	304	negative control	negative control
25658	LT0020_40	N3	50	315	negative control	negative control
25695	LT0020_40	O16	50	352	negative control	negative control
25728	LT0020_42	A1	50	1	positive control	ENSG00000149503
25731	LT0020_42	A4	50	4	positive control	ENSG00000149503
25742	LT0020_42	A15	50	15	negative control	negative control
25753	LT0020_42	B2	50	26	negative control	negative control
25776	LT0020_42	C1	50	49	positive control	ENSG00000149503
25779	LT0020_42	C4	50	52	positive control	ENSG00000149503
25790	LT0020_42	C15	50	63	negative control	negative control
25801	LT0020_42	D2	50	74	negative control	negative control
26031	LT0020_42	M16	50	304	negative control	negative control
26042	LT0020_42	N3	50	315	negative control	negative control
26079	LT0020_42	O16	50	352	negative control	negative control
26112	LT0021_08	A1	50	1	positive control	ENSG00000149503
26115	LT0021_08	A4	50	4	positive control	ENSG00000149503
26126	LT0021_08	A15	50	15	negative control	negative control
26137	LT0021_08	B2	50	26	negative control	negative control
26160	LT0021_08	C1	50	49	positive control	ENSG00000149503
26163	LT0021_08	C4	50	52	positive control	ENSG00000149503
26174	LT0021_08	C15	50	63	negative control	negative control
26185	LT0021_08	D2	50	74	negative control	negative control
26415	LT0021_08	M16	50	304	negative control	negative control
26426	LT0021_08	N3	50	315	negative control	negative control
26463	LT0021_08	O16	50	352	negative control	negative control
26496	LT0021_11	A1	50	1	positive control	ENSG00000149503
26499	LT0021_11	A4	50	4	positive control	ENSG00000149503
26510	LT0021_11	A15	50	15	negative control	negative control
26521	LT0021_11	B2	50	26	negative control	negative control
26544	LT0021_11	C1	50	49	positive control	ENSG00000149503
26547	LT0021_11	C4	50	52	positive control	ENSG00000149503
26558	LT0021_11	C15	50	63	negative control	negative control
26569	LT0021_11	D2	50	74	negative control	negative control
26799	LT0021_11	M16	50	304	negative control	negative control
26810	LT0021_11	N3	50	315	negative control	negative control
26847	LT0021_11	O16	50	352	negative control	negative control
26880	LT0021_51	A1	50	1	positive control	ENSG00000149503
26883	LT0021_51	A4	50	4	positive control	ENSG00000149503
26894	LT0021_51	A15	50	15	negative control	negative control
26905	LT0021_51	B2	50	26	negative control	negative control
26928	LT0021_51	C1	50	49	positive control	ENSG00000149503
26931	LT0021_51	C4	50	52	positive control	ENSG00000149503
26942	LT0021_51	C15	50	63	negative control	negative control
26953	LT0021_51	D2	50	74	negative control	negative control
27183	LT0021_51	M16	50	304	negative control	negative control
27194	LT0021_51	N3	50	315	negative control	negative control
27231	LT0021_51	O16	50	352	negative control	negative control
27264	LT0021_68	A1	50	1	positive control	ENSG00000149503
27267	LT0021_68	A4	50	4	positive control	ENSG00000149503
27278	LT0021_68	A15	50	15	negative control	negative control
27289	LT0021_68	B2	50	26	negative control	negative control
27312	LT0021_68	C1	50	49	positive control	ENSG00000149503
27315	LT0021_68	C4	50	52	positive control	ENSG00000149503
27326	LT0021_68	C15	50	63	negative control	negative control
